2026-03-25 16:20:49, 20.89, 4.95, 55.23, 595.22, 0.0273, 6.53
2026-03-25 16:20:54, 29.63, 6.05, 57.45, 703.03, 0.0579, 5.41
2026-03-25 16:21:07, 22.97, 20.0, 58.12, 548.09, 0.0407, 4.19
2026-03-25 16:21:12, 29.65, 15.7, 56.43, 545.87, 0.0607, 6.05
2026-03-25 16:21:17, 21.05, 8.69, 54.8, 570.6, 0.0428, 6.17
2026-03-25 17:10:13, 29.35, 2.86, 56.5, 605.23, 0.0676, 5.12
2026-03-25 17:10:18, 18.47, 15.74, 59.5, 507.59, 0.0571, 5.02
2026-03-25 17:10:33, 18.82, 0.71, 53.53, 503.18, 0.0955, 5.18
2026-03-25 17:10:38, 18.93, 1.24, 58.81, 604.77, 0.0512, 6.66
2026-03-25 17:18:40, 29.63, 1.19, 59.15, 609.22, 0.035, 4.22
2026-03-25 17:18:45, 27.68, 18.96, 54.56, 591.98, 0.0992, 4.61
2026-03-25 17:18:56, 21.88, 16.71, 54.57, 554.45, 0.0709, 4.11
2026-03-25 17:19:01, 29.36, 15.64, 55.99, 541.07, 0.0769, 5.38
